Job,Budgeted_Cost,Yearly_Revenue,Current_Profit,Customers
Not PM,900,200,0.05,6
TSKM,300,100,-0.05,1
Not PM,7400,1700,0.06,6
PMit,1700,400,0.04,1
Not PM,2900,600,0.08,9
SRPM,2800,1100,0.06,3
Not PM,,,0.9,2
PMit,600,500,0.06,2
SRPM,5600,800,-0.01,4
PMit,300,200,0.21,1
SRPM,5800,800,-0.29,10
Not PM,1700,200,0.08,3
PM,3500,,0.03,2
PMit,200,100,0.07,3
Not PM,1200,100,0.06,3
Not PM,,,-0.28,3
TSKM,,,,1
Not PM,800,500,0.1,11
SRPM,,,0.09,2
SRPM,4000,1400,0.06,3
PM,4300,1100,0.03,3
SRPM,1400,400,0.01,15
SRPM,500,100,0.07,3
PMit,600,,0.07,1
Not PM,,,,1
Not PM,1000,2100,0.07,3
Not PM,,,,1
PM,1800,900,0.06,2
SRPM,1000,400,0.11,1
Not PM,1200,900,0.05,2
PM,,,,2
PMit,,,0.1,1
SRPM,4300,2400,0.06,4
Not PM,200,100,-0.04,2
Not PM,400,100,-0.01,1
PMit,400,100,0.08,2
Not PM,2600,1400,0.17,4
PM,700,100,0.19,1
Not PM,200,200,0.23,1
SRPM,,,,1
SRPM,2600,800,0.02,2
PMit,1000,600,0.16,2
Not PM,,,,1
SRPM,2800,900,0.02,7
Not PM,800,100,-0.06,2
PM,800,500,0.01,2
SRPM,2600,400,0.11,2
Not PM,1800,200,0.01,1
PMit,400,,0.03,2
Not PM,,,,1
Not PM,100,100,0.09,1
Not PM,24000,14400,0.05,3
Not PM,25400,11700,0.03,1
Not PM,,,,3
Not PM,900,300,0.03,3
Not PM,30400,1000,-0.04,1
PMit,100,100,0.14,10
SRPM,4900,1900,0.02,4
SRPM,3100,1300,0.06,3
PMit,700,600,0.05,2
SRPM,2800,1300,0.04,3
Not PM,8000,7300,0.2,2
PMit,,,,1
Not PM,,,,1
SRPM,14700,1600,0.14,2
Not PM,,,-1,1
SRPM,2000,400,0.07,4
Not PM,7000,1900,0.08,1
SRPM,200,,-0.01,2
Not PM,2100,1000,0.03,16
Not PM,1400,700,0.06,3
SRPM,1100,600,0.03,5
PM,4800,900,-0.01,8
PM,6100,700,0.1,6
SRPM,1200,300,0.02,3
Not PM,91400,21700,0.03,1
PMit,100,100,0.09,1
SRPM,2400,400,0.04,8
Not PM,,,,2
PM,1600,400,0.17,1
Not PM,1000,300,0.09,6
PM,1900,600,0.05,3
SRPM,9500,1700,0.01,11
SRPM,900,800,0.06,3
Not PM,,,,1
SRPM,2600,1200,0.03,2
PM,100,100,0.08,1
PM,2500,1200,0.07,5
Not PM,10200,3600,0.05,1
Not PM,,,,1
Not PM,2800,1500,0.12,2
SRPM,2100,1100,0.11,5
SRPM,3900,800,0.03,3
SRPM,6200,4600,0.02,1
PMit,600,400,0.06,2
TSKM,2600,400,0.06,2
Not PM,600,300,0.23,1
Not PM,9400,800,-0.02,1
SRPM,1600,700,0.07,3
SRPM,2500,1000,0.03,1
Not PM,3700,1000,0.04,2
Not PM,,,,1
Not PM,64400,8400,0.06,1
SRPM,700,300,0.08,2
SRPM,1600,200,0.05,1
Not PM,800,200,-0.24,1
Not PM,5600,3000,0.05,1
