underlying_symbol,quote_date,root,expiration,strike,option_type,open,high,low,close,trade_volume,bid_size_1545,bid_1545,ask_size_1545,ask_1545,underlying_bid_1545,underlying_ask_1545,bid_size_eod,bid_eod,ask_size_eod,ask_eod,underlying_bid_eod,underlying_ask_eod,vwap,open_interest,delivery_code
IBM,2013-05-02,IBM,2013-06-07,240.000,C,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,1111,0.0400,202.1200,202.1300,0,0.0000,1020,0.0400,202.3200,202.3300,0.0000,0,
IBM,2013-05-02,IBM,2013-06-07,240.000,P,0.0000,0.0000,0.0000,0.0000,0,33,38.6000,44,39.5500,202.1200,202.1300,33,38.4000,44,39.3500,202.3200,202.3300,0.0000,0,
IBM,2013-05-02,IBM,2013-06-07,250.000,C,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,153,0.0300,202.1200,202.1300,0,0.0000,105,0.0300,202.3200,202.3300,0.0000,0,
IBM,2013-05-02,IBM,2013-06-07,250.000,P,0.0000,0.0000,0.0000,0.0000,0,55,48.4500,44,49.5500,202.1200,202.1300,55,48.2500,44,49.3500,202.3200,202.3300,0.0000,0,
IBM,2013-05-02,IBM,2013-06-22,105.000,C,0.0000,0.0000,0.0000,0.0000,0,113,94.7500,26,98.0500,202.1200,202.1300,11,94.9000,26,98.0500,202.3200,202.3300,0.0000,0,
IBM,2013-05-02,IBM,2013-06-22,105.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,399,0.0300,202.1200,202.1300,0,0.0000,239,0.0300,202.3200,202.3300,0.0000,0,
IBM,2013-05-02,IBM,2013-06-22,110.000,C,0.0000,0.0000,0.0000,0.0000,0,77,89.7500,26,93.0500,202.1200,202.1300,11,89.9000,26,93.0500,202.3200,202.3300,0.0000,0,
IBM,2013-05-02,IBM,2013-06-22,110.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,358,0.0300,202.1200,202.1300,0,0.0000,248,0.0300,202.3200,202.3300,0.0000,0,
IBM,2013-05-02,IBM,2013-06-22,115.000,C,0.0000,0.0000,0.0000,0.0000,0,104,84.7000,26,88.0500,202.1200,202.1300,125,84.9000,26,88.0500,202.3200,202.3300,0.0000,0,
IBM,2013-05-02,IBM,2013-06-22,115.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,270,0.0300,202.1200,202.1300,0,0.0000,247,0.0300,202.3200,202.3300,0.0000,0,
IBM,2013-05-02,IBM,2013-06-22,120.000,C,0.0000,0.0000,0.0000,0.0000,0,77,79.7500,26,83.0500,202.1200,202.1300,11,79.9000,26,83.0500,202.3200,202.3300,0.0000,0,
IBM,2013-05-02,IBM,2013-06-22,120.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,715,0.0400,202.1200,202.1300,0,0.0000,568,0.0400,202.3200,202.3300,0.0000,0,
IBM,2013-05-02,IBM,2013-06-22,125.000,C,0.0000,0.0000,0.0000,0.0000,0,103,74.7500,26,78.0500,202.1200,202.1300,1,74.9000,26,78.0500,202.3200,202.3300,0.0000,0,
IBM,2013-05-02,IBM,2013-06-22,125.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,477,0.0400,202.1200,202.1300,0,0.0000,444,0.0400,202.3200,202.3300,0.0000,3,
IBM,2013-05-02,IBM,2013-06-22,130.000,C,0.0000,0.0000,0.0000,0.0000,0,40,71.7500,41,72.5000,202.1200,202.1300,38,71.9000,38,72.7500,202.3200,202.3300,0.0000,0,
IBM,2013-05-02,IBM,2013-06-22,130.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,819,0.0500,202.1200,202.1300,0,0.0000,797,0.0500,202.3200,202.3300,0.0000,0,
IBM,2013-05-02,IBM,2013-06-22,135.000,C,0.0000,0.0000,0.0000,0.0000,0,87,64.8500,26,68.6500,202.1200,202.1300,121,64.9000,26,68.6500,202.3200,202.3300,0.0000,0,
IBM,2013-05-02,IBM,2013-06-22,135.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,526,0.0500,202.1200,202.1300,0,0.0000,587,0.0500,202.3200,202.3300,0.0000,0,
IBM,2013-05-02,IBM,2013-06-22,140.000,C,0.0000,0.0000,0.0000,0.0000,0,62,59.7500,26,63.0500,202.1200,202.1300,82,59.9500,26,63.0500,202.3200,202.3300,0.0000,0,
IBM,2013-05-02,IBM,2013-06-22,140.000,P,0.0300,0.0300,0.0200,0.0200,2,204,0.0100,722,0.0600,202.1200,202.1300,188,0.0100,611,0.0600,202.3200,202.3300,0.0250,21,
IBM,2013-05-02,IBM,2013-06-22,145.000,C,0.0000,0.0000,0.0000,0.0000,0,104,54.7000,26,58.0500,202.1200,202.1300,41,54.9000,26,58.0500,202.3200,202.3300,0.0000,0,
IBM,2013-05-02,IBM,2013-06-22,145.000,P,0.0000,0.0000,0.0000,0.0000,0,342,0.0100,1205,0.0700,202.1200,202.1300,302,0.0100,830,0.0700,202.3200,202.3300,0.0000,0,
IBM,2013-05-02,IBM,2013-06-22,150.000,C,0.0000,0.0000,0.0000,0.0000,0,41,51.7000,41,52.4500,202.1200,202.1300,26,51.9500,46,52.5500,202.3200,202.3300,0.0000,5,
IBM,2013-05-02,IBM,2013-06-22,150.000,P,0.0000,0.0000,0.0000,0.0000,0,299,0.0200,575,0.0700,202.1200,202.1300,261,0.0200,394,0.0700,202.3200,202.3300,0.0000,15,
IBM,2013-05-02,IBM,2013-06-22,155.000,C,0.0000,0.0000,0.0000,0.0000,0,163,44.7000,26,48.0500,202.1200,202.1300,63,44.9000,26,48.0500,202.3200,202.3300,0.0000,0,
IBM,2013-05-02,IBM,2013-06-22,155.000,P,0.0000,0.0000,0.0000,0.0000,0,344,0.0100,1273,0.1100,202.1200,202.1300,424,0.0100,982,0.1100,202.3200,202.3300,0.0000,40,
IBM,2013-05-02,IBM,2013-06-22,160.000,C,0.0000,0.0000,0.0000,0.0000,0,41,41.7500,41,42.5000,202.1200,202.1300,38,41.9500,23,42.6000,202.3200,202.3300,0.0000,4,
IBM,2013-05-02,IBM,2013-06-22,160.000,P,0.0000,0.0000,0.0000,0.0000,0,746,0.0100,1091,0.1700,202.1200,202.1300,794,0.0100,519,0.1400,202.3200,202.3300,0.0000,318,
IBM,2013-05-02,IBM,2013-06-22,165.000,C,0.0000,0.0000,0.0000,0.0000,0,97,34.7500,14,38.3000,202.1200,202.1300,64,34.9500,12,38.3000,202.3200,202.3300,0.0000,7,
IBM,2013-05-02,IBM,2013-06-22,165.000,P,0.0000,0.0000,0.0000,0.0000,0,2126,0.0300,2254,0.2000,202.1200,202.1300,1103,0.0300,1604,0.1800,202.3200,202.3300,0.0000,300,
